6473,1999,6464,1778,6475,6455,6479,2399,6469,14,6471,6457,6472,6478,6458,6467,6460,6463,6461,6474,13
2548,167,2324
2583,1961,5004,1415,4548,838,1816,2019,1605,5356,5447,964,2401,548,6128,4728,612,4806,1132,3952,2222,2602,5517,3499,2397,4214,2239,855,4292,865,2398,2554,3725,2250,5527,479,6304,748,3824,6375,6368,5920,2545,3364,1659,3413,4456,1585,3869,6312,5472,4370,173,1352,3056,2043,4656,6243,1614,4655,1722,2661,1809
5689,583
71,3568,1245,6264,5021,2433
60,6306,3577
6197,918,954
509,5002
5121,287
5962,2598,5967,3072,2539,4052,4102,5121,2197,4432,2569,2776,2685,5170,4330,2360,5474,6094,5954,1357,554
5121,664
4025,3366,3473,2200,1609,2678,1433,1269,1871,5132
4889,1885,5681,5401,6001,5402,6392,3265,1360,3263,3174,2978,2330,4969,4407
5715,4055
2078,6444
2415,5388
5887,2922
1171,6218
4966,2469,1533
4821,5740
4603,3221
5381,6140
4713,5950,2792,3303,2953,6118
6313,6260
4063,597
2212,4163
5204,4287
1460,4756
5437,2808
5776,5597
5895,5776
6401,5776
3987,3988
1141,4444
5238,3469
3724,2130
5121,5011
5121,6062
5121,6421
2735,2741,3995,2737
6318,6246,6320,5019,1270
6408,5736
2952,2931
3487,2931
719,6351
5742,5154,6351,4431,6426,4369,1064
3451,5969,6351
29,30,2691,2177,3242
2129,5516
3876,5516
4948,5516
3984,1754
6192,6306
2429,3770
4817,3770
2124,1311
1613,3967
2439,5701,2438
2202,3066
2069,4957
2515,3819,2157,1724,6089,775,4415,5253,4787
4415,4179
5308,2261
1136,3541
4248,113,614,1397
1431,4366
5124,1295,2397,492,4002
3979,3029
6226,3613,1952,1953,3748
1952,4678
4412,1892
1034,2521,1857,4391,3380,1299,4390,4906
4898,4168
869,3415
2123,1826
1972,2123
2123,3105
4796,1410,5859,3434
5831,2783,762,2599
1582,4343
5306,351,2020,1674
3782,5135,5306,1492
5306,2048
5306,3677
5306,3835
4060,5306
4457,2040
2132,1616
2548,1101,744
2548,1615
2548,2151
2548,3355
2548,3462
3913,1383
1077,3940
550,1602
6449,1081,1602
1602,1302
2531,1602
5044,1602
529,824
824,5501
824,5866
2658,3087
4475,2658
5549,2557
2932,5046,3992
2399,1336
2399,3115
2399,5534
2016,2576
1261,2664
2664,4478
5391,2664
2666,4649
1726,1347
1347,2437
3886,1347
1347,4259
545,2420,5676
491,1340
491,1341
491,2416
4186,533
6204,533
675,867
1008,859
1656,859
1663,4638,2304,6135,6176,4637,859
2348,859
5894,859
4895,154
